movies_name,movies_rating,movies_tv_rating,movies_genre,movies_year,,Row Labels,Average of movies_rating,,,,,,,,Row Labels,Count of movies_tv_rating,,,,Row Labels,,Row Labels,Count of movies_genre
The Roller Blade Seven,2.1,,"Action, Sci-Fi",-1991,,,,,,,,,,,,,,,,,,,
Monster Lab,7.8,TV-MA,"Animation, Comedy, Fantasy",(2021– ),,,,,,,,,,,,,,,,,,,
Privilege,6.9,,"Comedy, Drama, Music",-1967,,,,,,,,,,,,,,,,,,,
Awe!,7.7,,"Drama, Fantasy, Horror",-2018,,,,,,,,,,,,,,,,,,,
The Alien Report,,,"Horror, Sci-Fi, Thriller",-2022,,,,,,,,,,,,,,,,,,,
Jurassic Park: The Game,6.8,T,"Action, Adventure, Drama",(2011 Video Game),,,,,,,,,,,,,,,,,,,
Fish Story,7.5,,"Action, Comedy, Music",-2009,,,,,,,,,,,,,,,,,,,
Simon,6.3,PG,"Comedy, Sci-Fi",-1980,,,,,,,,,,,,,,,,,,,
"The Peter Weyland Files: TED Conference, 2023",7.1,,"Short, Sci-Fi",(2012 Video),,,,,,,,,,,,,,,,,,,
Tik Tik Tik,6,Not Rated,"Action, Adventure, Sci-Fi",-2018,,,,,,,,,,,,,,,,,,,
San Andreas Mega Quake,2.3,Not Rated,"Action, Adventure, Drama",(2019 Video),,,,,,,,,,,,,,,,,,,
Gamera vs. Guiron,4.2,Unrated,"Action, Adventure, Family",-1969,,,,,,,,,,,,,,,,,,,
The Time Machine,6.9,,"Drama, Sci-Fi",(1949 TV Movie),,,,,,,,,,,,,,,,,,,
Camel Spiders,2.5,R,"Action, Adventure, Comedy",(2011 TV Movie),,,,,,,,,,,,,,,,,,,
Feet Fables,,,"Short, Adventure, Crime",-2021,,,,,,,,,,,,,,,,,,,
The Sun Does Not Move,5.2,,Sci-Fi,-2021,,,,,,,,,,,,,,,,,,,
Residue,6,,"Drama, Horror, Mystery",-2015,,,,,,,,,,,,,,,,,,,
Journey to Space,6.4,Unrated,"Documentary, Adventure, Sci-Fi",-2015,,,,,,,,,,,,,,,,,,,
Deadly Weapon,4.3,PG-13,"Drama, Sci-Fi, Thriller",-1989,,,,,,,,,,,,,,,,,,,
The Tribe,4.5,,"Drama, Sci-Fi, Thriller",-2016,,,,,,,,,,,,,,,,,,,
All the Gods in the Sky,6.1,,"Drama, Horror, Sci-Fi",-2018,,,,,,,,,,,,,,,,,,,
Inversion,,,Sci-Fi,(II),,,,,,,,,,,,,,,,,,,
The Crimson Ghost,6.8,Approved,"Action, Adventure, Crime",-1946,,,,,,,,,,,,,,,,,,,
Dark Hole,6,,"Action, Fantasy, Mystery",(2021– ),,,,,,,,,,,,,,,,,,,
Jurassic Prey,1.7,Not Rated,"Action, Adventure, Comedy",-2015,,,,,,,,,,,,,,,,,,,
The Devil Bat,5.5,Approved,"Horror, Sci-Fi",-1940,,,,,,,,,,,,,,,,,,,
Snake Club: Revenge of the Snake Woman,2.7,,"Action, Fantasy, Horror",-2013,,,,,,,,,,,,,,,,,,,
Brides of Blood,5,Not Rated,"Horror, Sci-Fi",-1968,,,,,,,,,,,,,,,,,,,
Black Hollow Cage,5,Unrated,"Drama, Horror, Sci-Fi",-2017,,,,,,,,,,,,,,,,,,,
Dead Mountaineer's Hotel,6.7,,"Crime, Drama, Sci-Fi",-1979,,,,,,,,,,,,,,,,,,,
Transference,5.2,,"Action, Mystery, Sci-Fi",-2020,,,,,,,,,,,,,,,,,,,
Helldriver,5.2,Not Rated,"Horror, Sci-Fi",-2010,,,,,,,,,,,,,,,,,,,
Dota 2,8.3,T,"Action, Adventure, Fantasy",(2013 Video Game),,,,,,,,,,,,,,,,,,,
Atom Age Vampire,3.9,Unrated,"Horror, Sci-Fi",-1960,,,,,,,,,,,,,,,,,,,
Specimen,4,R,Sci-Fi,-1996,,,,,,,,,,,,,,,,,,,
Aliens: Colonial Marines,4.8,M,"Action, Horror, Sci-Fi",(2013 Video Game),,,,,,,,,,,,,,,,,,,
Wolfenstein: The Old Blood,7.8,M,"Action, Adventure, Fantasy",(2015 Video Game),,,,,,,,,,,,,,,,,,,
The End,7.3,,"Action, Drama, Sci-Fi",(2020– ),,,,,,,,,,,,,,,,,,,
Unknown World,4.1,Approved,"Adventure, Sci-Fi",-1951,,,,,,,,,,,,,,,,,,,
Shadowverse,,,"Fantasy, Sci-Fi",(2015– ),,,,,,,,,,,,,,,,,,,
Judas Kiss,5.4,Not Rated,"Drama, Romance, Sci-Fi",(I) (2011),,,,,,,,,,,,,,,,,,,
Visit to a Small Planet,5.9,Not Rated,"Comedy, Sci-Fi",-1960,,,,,,,,,,,,,,,,,,,
The Secret Number,6.5,,"Short, Drama, Sci-Fi",-2012,,,,,,,,,,,,,,,,,,,
We've Forgotten More Than We Ever Knew,5,Not Rated,"Drama, Sci-Fi",-2016,,,,,,,,,,,,,,,,,,,
Konstruktor krasnogo tsveta,6.5,,"Documentary, Sci-Fi",-1993,,,,,,,,,,,,,,,,,,,
Embers,5.3,Not Rated,"Drama, Mystery, Sci-Fi",(I) (2015),,,,,,,,,,,,,,,,,,,
"30,000 Leagues Under the Sea",2.6,Not Rated,"Action, Sci-Fi",(2007 Video),,,,,,,,,,,,,,,,,,,
Frankenstein Meets the Spacemonster,3.8,Unrated,"Horror, Sci-Fi",-1965,,,,,,,,,,,,,,,,,,,
Six Windows in the Desert,4.3,,"Short, Adventure, Comedy",-2020,,,,,,,,,,,,,,,,,,,
T h e m,6.7,,"Sci-Fi, Thriller",-2021,,,,,,,,,,,,,,,,,,,
Brain of Blood,3,GP,"Horror, Sci-Fi",-1971,,,,,,,,,,,,,,,,,,,
Cyborg X,3.8,,"Action, Horror, Sci-Fi",-2016,,,,,,,,,,,,,,,,,,,
The Henry Stickmin Collection,8.5,E10+,"Animation, Action, Comedy",(2020 Video Game),,,,,,,,,,,,,,,,,,,
Luna Park,,,"Action, Adventure, Sci-Fi",,,,,,,,,,,,,,,,,,,,
Incident at Loch Ness,6.5,PG-13,"Adventure, Comedy, Fantasy",-2004,,,,,,,,,,,,,,,,,,,
Inhumans,6.6,Not Rated,"Animation, Action, Sci-Fi",(2013– ),,,,,,,,,,,,,,,,,,,
Doomwatch,5.4,PG,"Horror, Mystery, Sci-Fi",-1972,,,,,,,,,,,,,,,,,,,
Thor: End of Days,2.6,,"Action, Sci-Fi",-2020,,,,,,,,,,,,,,,,,,,
Ice Twisters,4,PG-13,"Action, Adventure, Drama",(2009 TV Movie),,,,,,,,,,,,,,,,,,,
Severed,4.5,R,"Horror, Sci-Fi, Thriller",-2005,,,,,,,,,,,,,,,,,,,
Sexual Chemistry,4.7,R,"Comedy, Sci-Fi",-1999,,,,,,,,,,,,,,,,,,,
Mimic,,,Sci-Fi,(2021– ),,,,,,,,,,,,,,,,,,,
Tides of War,4.7,PG-13,"Action, Drama, Sci-Fi",(2005 TV Movie),,,,,,,,,,,,,,,,,,,
2036 Apocalypse Earth,6.4,,"Action, Adventure, Crime",-2019,,,,,,,,,,,,,,,,,,,
Untitled Star Wars Trilogy: Episode I,,,Sci-Fi,,,,,,,,,,,,,,,,,,,,
The 5th Kind,5.1,,"Horror, Mystery, Sci-Fi",-2017,,,,,,,,,,,,,,,,,,,
Return to the Lost World,5,PG,"Adventure, Sci-Fi",-1992,,,,,,,,,,,,,,,,,,,
A for Andromeda,5.2,,"Drama, Sci-Fi, Thriller",(2006 TV Movie),,,,,,,,,,,,,,,,,,,
Metal Gear Solid: Peace Walker,8.4,T,"Action, Adventure, Drama",(2010 Video Game),,,,,,,,,,,,,,,,,,,
Sonic: Lost World,6.4,E10+,"Action, Adventure, Family",(2013 Video Game),,,,,,,,,,,,,,,,,,,
Absolon,4.2,R,"Sci-Fi, Action, Thriller",-2003,,,,,,,,,,,,,,,,,,,
Rise,6.8,Not Rated,"Short, Fantasy, Mystery",(I) (2016),,,,,,,,,,,,,,,,,,,
Returner,6.4,R,"Action, Adventure, Sci-Fi",-2002,,,,,,,,,,,,,,,,,,,
Nine Lives,,,Sci-Fi,(I),,,,,,,,,,,,,,,,,,,
Charlie and the Chocolate Factory,6.3,E,"Action, Adventure, Comedy",(2005 Video Game),,,,,,,,,,,,,,,,,,,
I Want To,6.4,,"Action, Adventure, Sci-Fi",-1979,,,,,,,,,,,,,,,,,,,
Star Wars: Wrath of the Mandalorian,3.3,,"Short, Action, Sci-Fi",(2008 Video),,,,,,,,,,,,,,,,,,,
Medinah,7.9,,"Adventure, Drama, Fantasy",(2016– ),,,,,,,,,,,,,,,,,,,
Curse of the Swamp Creature,2.5,Unrated,"Horror, Sci-Fi",(1968 TV Movie),,,,,,,,,,,,,,,,,,,
Tomorrow I'll Wake Up and Scald Myself with Tea,7.1,,"Comedy, Romance, Sci-Fi",-1977,,,,,,,,,,,,,,,,,,,
Star Wars: Jedi Knight - Dark Forces II,8.5,,"Action, Adventure, Fantasy",(1997 Video Game),,,,,,,,,,,,,,,,,,,
Sri Asih,,TV-14,"Action, Adventure, Drama",-2022,,,,,,,,,,,,,,,,,,,
Sting of Death,4.4,,"Horror, Sci-Fi",-1966,,,,,,,,,,,,,,,,,,,
Octaman,3.4,PG,"Sci-Fi, Horror",-1971,,,,,,,,,,,,,,,,,,,
Battle in Outer Space,5.6,Approved,"Action, Sci-Fi",-1959,,,,,,,,,,,,,,,,,,,
Deadly Instincts,3.1,R,"Horror, Sci-Fi",-1997,,,,,,,,,,,,,,,,,,,
Aliens in the Family,6.1,,"Comedy, Sci-Fi",-1996,,,,,,,,,,,,,,,,,,,
The Story of the Faithful Wookiee,6.1,,"Animation, Short, Sci-Fi",-1978,,,,,,,,,,,,,,,,,,,
Trancers 6,3.7,R,"Action, Horror, Sci-Fi",(2002 Video),,,,,,,,,,,,,,,,,,,
Malevil,6.5,Not Rated,"Drama, Sci-Fi",-1981,,,,,,,,,,,,,,,,,,,
Oddworld: Abe's Oddysee,8.3,T,"Adventure, Fantasy, Sci-Fi",(1997 Video Game),,,,,,,,,,,,,,,,,,,
Black Mesa,8.5,Not Rated,"Action, Sci-Fi, Thriller",(2012 Video Game),,,,,,,,,,,,,,,,,,,
Battlefield 2025,2.1,,"Action, Adventure, Horror",-2020,,,,,,,,,,,,,,,,,,,
Tabernacle 101,6.6,,"Drama, Fantasy, Horror",-2019,,,,,,,,,,,,,,,,,,,
Blood of the Vampire,5.5,Approved,"Horror, Sci-Fi",-1958,,,,,,,,,,,,,,,,,,,
Metal Gear,7.9,E,"Action, Adventure, Sci-Fi",(1987 Video Game),,,,,,,,,,,,,,,,,,,
The Lake,5.3,TV-PG,"Mystery, Sci-Fi, Thriller",(1998 TV Movie),,,,,,,,,,,,,,,,,,,
Metal Skin Panic MADOX- 01,5.7,Not Rated,"Animation, Comedy, Sci-Fi",(1987 Video),,,,,,,,,,,,,,,,,,,
Flesh Feast,2.5,R,"Fantasy, Horror, Mystery",-1970,,,,,,,,,,,,,,,,,,,
Scarlet Nexus,7,T,"Action, Adventure, Sci-Fi",(2021 Video Game),,,,,,,,,,,,,,,,,,,
Triassic World,3.1,Not Rated,"Action, Horror, Sci-Fi",(2018 Video),,,,,,,,,,,,,,,,,,,
Deja Vu,,,"Sci-Fi, Thriller",(II) (2021),,,,,,,,,,,,,,,,,,,
Alien Abduction: Intimate Secrets,3.4,R,Sci-Fi,-1996,,,,,,,,,,,,,,,,,,,
Retrograde,3.1,R,"Action, Sci-Fi",-2004,,,,,,,,,,,,,,,,,,,
Lost in the Pacific,3.9,,"Adventure, Sci-Fi, Thriller",-2016,,,,,,,,,,,,,,,,,,,
Imitation Girl,5,,"Drama, Sci-Fi",-2017,,,,,,,,,,,,,,,,,,,
Death Dimension,4.3,R,"Action, Sci-Fi",-1978,,,,,,,,,,,,,,,,,,,
"Mirror, Mirror",7.5,,"Adventure, Drama, Family",(1995–1998),,,,,,,,,,,,,,,,,,,
Taeter City,4.9,Not Rated,"Action, Horror, Sci-Fi",-2012,,,,,,,,,,,,,,,,,,,
Empire of Dreams: The Story of the 'Star Wars' Trilogy,8.2,,"Documentary, History, Sci-Fi",(2004 Video),,,,,,,,,,,,,,,,,,,
CRS 24 Mission,,,"Action, Adventure, Sci-Fi",-2021,,,,,,,,,,,,,,,,,,,
The Rift: Dark Side of the Moon,3.3,Not Rated,"Horror, Sci-Fi, Thriller",-2016,,,,,,,,,,,,,,,,,,,
Iceman,4.7,R,"Action, Comedy, History",-2014,,,,,,,,,,,,,,,,,,,
Impact,5.5,Not Rated,"Action, Adventure, Drama",-2009,,,,,,,,,,,,,,,,,,,
Kamen Rider Ryuki,7.8,TV-PG,"Action, Adventure, Drama",(2002–2003),,,,,,,,,,,,,,,,,,,
Attack of the Sabertooth,2.7,R,"Action, Adventure, Comedy",(2005 TV Movie),,,,,,,,,,,,,,,,,,,
Thor: God of Thunder,6.4,T,"Action, Adventure, Fantasy",(2011 Video Game),,,,,,,,,,,,,,,,,,,
Dinocroc,3.4,R,"Action, Adventure, Comedy",-2004,,,,,,,,,,,,,,,,,,,
The Institute,6.2,Not Rated,"Documentary, Crime, Mystery",-2012,,,,,,,,,,,,,,,,,,,
Command & Conquer: Red Alert,8.5,T,"Action, Sci-Fi, War",(1996 Video Game),,,,,,,,,,,,,,,,,,,
Autumn,3.1,R,"Horror, Sci-Fi, Thriller",(I) (2009),,,,,,,,,,,,,,,,,,,
Category 6: Day of Destruction,5.1,Unrated,"Action, Drama, Sci-Fi",(2004 TV Movie),,,,,,,,,,,,,,,,,,,
Black Magic M-66,6.4,,"Animation, Action, Sci-Fi",(1987 Video),,,,,,,,,,,,,,,,,,,
Triborn,,,"Action, Sci-Fi, Thriller",,,,,,,,,,,,,,,,,,,,
Thunder Run,5,PG-13,"Action, Sci-Fi, Thriller",-1985,,,,,,,,,,,,,,,,,,,
Twisted Metal,7.2,M,"Action, Horror, Sci-Fi",(2012 Video Game),,,,,,,,,,,,,,,,,,,
The Savage Bees,5.1,Not Rated,"Horror, Sci-Fi, Thriller",(1976 TV Movie),,,,,,,,,,,,,,,,,,,
Back to the Future: The Game,8,T,"Action, Adventure, Comedy",(2010 Video Game),,,,,,,,,,,,,,,,,,,
App,5.4,Not Rated,"Sci-Fi, Thriller",-2013,,,,,,,,,,,,,,,,,,,
Dragon: The Weapon of God,1.4,,"Action, Adventure, Fantasy",-2022,,,,,,,,,,,,,,,,,,,
Ninja Sentai Kakuranger,7.5,TV-14,"Action, Adventure, Comedy",(1994–1995),,,,,,,,,,,,,,,,,,,
Roller Blade,3.1,,"Action, Comedy, Sci-Fi",-1986,,,,,,,,,,,,,,,,,,,
Piranha Sharks,3.1,Not Rated,"Action, Comedy, Drama",-2016,,,,,,,,,,,,,,,,,,,
Five,6.3,Approved,"Drama, Horror, Sci-Fi",-1951,,,,,,,,,,,,,,,,,,,
Ocean,6.2,,"Short, Drama, Sci-Fi",(II) (2016),,,,,,,,,,,,,,,,,,,
Ashes,4.9,TV-MA,"Horror, Sci-Fi, Thriller",(III) (2010),,,,,,,,,,,,,,,,,,,
Solaris,,,Sci-Fi,-2007,,,,,,,,,,,,,,,,,,,
Crawlspace,4.8,Unrated,"Action, Horror, Mystery",(II) (2012),,,,,,,,,,,,,,,,,,,
Batman: Arkham VR,7.2,M,"Action, Crime, Fantasy",(2016 Video Game),,,,,,,,,,,,,,,,,,,
Crash Bandicoot: The Wrath of Cortex,7.7,E,"Action, Adventure, Comedy",(2001 Video Game),,,,,,,,,,,,,,,,,,,
Kudi Yedamaithe,8.4,,"Crime, Sci-Fi, Thriller",(2021– ),,,,,,,,,,,,,,,,,,,
T-Force,4.8,R,"Action, Sci-Fi",-1994,,,,,,,,,,,,,,,,,,,
Predchuvstviye,4.3,Not Rated,"Drama, Sci-Fi",-1992,,,,,,,,,,,,,,,,,,,
The Time War,,,Sci-Fi,,,,,,,,,,,,,,,,,,,,
Ill: Final Contagium,3.9,TV-MA,"Fantasy, Horror, Sci-Fi",-2020,,,,,,,,,,,,,,,,,,,
Superhero Fight Club 2.0,8,,"Short, Action, Fantasy",(2016 Video),,,,,,,,,,,,,,,,,,,
Where Have All the People Gone,6,Not Rated,"Drama, Sci-Fi",(1974 TV Movie),,,,,,,,,,,,,,,,,,,
The Invisibles,,,"Fantasy, Sci-Fi",(IV),,,,,,,,,,,,,,,,,,,
Swamp Devil,4,TV-14,"Action, Horror, Sci-Fi",-2008,,,,,,,,,,,,,,,,,,,
EarthBound,8.9,K-A,"Adventure, Comedy, Fantasy",(1994 Video Game),,,,,,,,,,,,,,,,,,,
The Wide World of Mystery,7.3,,"Drama, Horror, Mystery",(1973–1976),,,,,,,,,,,,,,,,,,,
The Invisible Man,3.4,,Sci-Fi,-2017,,,,,,,,,,,,,,,,,,,
Return to Castle Wolfenstein,8.3,M,"Action, Adventure, Fantasy",(2001 Video Game),,,,,,,,,,,,,,,,,,,
Rival Speak,4.4,,Sci-Fi,(2020– ),,,,,,,,,,,,,,,,,,,
The Tommyknockers,,,"Horror, Sci-Fi, Thriller",,,,,,,,,,,,,,,,,,,,
The Curious Dr. Humpp,4.7,X,"Horror, Sci-Fi",-1969,,,,,,,,,,,,,,,,,,,
inFamous,8,T,"Action, Adventure, Fantasy",(2009 Video Game),,,,,,,,,,,,,,,,,,,
Eleventh Hour,6.7,TV-14,"Sci-Fi, Thriller",-2006,,,,,,,,,,,,,,,,,,,
The Naked Monster,5.2,,"Comedy, Horror, Sci-Fi",-2005,,,,,,,,,,,,,,,,,,,
12 to the Moon,3.2,,Sci-Fi,-1960,,,,,,,,,,,,,,,,,,,
Untitled Alien Project,,,"Horror, Sci-Fi",,,,,,,,,,,,,,,,,,,,
A for Andromeda,7.2,,"Drama, Sci-Fi",-1961,,,,,,,,,,,,,,,,,,,
The Watchers: Revelation,5.5,Not Rated,"Action, Adventure, Sci-Fi",-2013,,,,,,,,,,,,,,,,,,,
The Unknown Terror,4.9,Unrated,"Horror, Sci-Fi",-1957,,,,,,,,,,,,,,,,,,,
Dominion,3.4,Not Rated,"Action, Sci-Fi, Thriller",-2015,,,,,,,,,,,,,,,,,,,
The X Files: Resist or Serve,8.2,M,"Action, Adventure, Horror",(2004 Video Game),,,,,,,,,,,,,,,,,,,
Beyond 2000,8.6,,"Documentary, Sci-Fi",(1985–1999),,,,,,,,,,,,,,,,,,,
The Day I Bought a Star,8.2,,"Animation, Short, Fantasy",-2006,,,,,,,,,,,,,,,,,,,
Untitled Wakanda Project,,,"Action, Adventure, Sci-Fi",,,,,,,,,,,,,,,,,,,,
Andover,5.5,TV-14,"Comedy, Drama, Romance",-2017,,,,,,,,,,,,,,,,,,,
Repligator,2.5,Not Rated,"Action, Comedy, Sci-Fi",-1998,,,,,,,,,,,,,,,,,,,
Bigfoot's Wild Weekend,2.7,Not Rated,Sci-Fi,-2012,,,,,,,,,,,,,,,,,,,
War of the Worlds 2: The Next Wave,2.1,R,"Action, Adventure, Horror",(2008 Video),,,,,,,,,,,,,,,,,,,
Fluidø,4.5,,Sci-Fi,-2017,,,,,,,,,,,,,,,,,,,
The Separatists,8.5,,"Short, Action, Sci-Fi",-2018,,,,,,,,,,,,,,,,,,,
Darna,7,,"Action, Drama, Fantasy",-2005,,,,,,,,,,,,,,,,,,,
The Slave Huntress,5.5,,"Crime, Sci-Fi, Thriller",(2007 Video),,,,,,,,,,,,,,,,,,,
Who Is Julia?,6.6,TV-PG,"Drama, Sci-Fi",(1986 TV Movie),,,,,,,,,,,,,,,,,,,
Lifepod,5.5,,"Mystery, Sci-Fi, Thriller",(1993 TV Movie),,,,,,,,,,,,,,,,,,,
Call of the Undead,3.3,,"Horror, Sci-Fi",-2012,,,,,,,,,,,,,,,,,,,
Universal Soldier II: Brothers in Arms,2.8,R,"Action, Sci-Fi",(1998 TV Movie),,,,,,,,,,,,,,,,,,,
My Dad the Bounty Hunter,,TV-Y7,"Animation, Action, Adventure",,,,,,,,,,,,,,,,,,,,
The Mangler 2,2.4,R,"Horror, Sci-Fi",(2002 Video),,,,,,,,,,,,,,,,,,,
Rogue Warrior: Robot Fighter,4.6,Not Rated,"Action, Sci-Fi",-2016,,,,,,,,,,,,,,,,,,,
"Class of Nuke 'Em High Part 3: The Good, the Bad and the Subhumanoid",4.1,R,"Action, Comedy, Horror",-1994,,,,,,,,,,,,,,,,,,,
Sex and the Single Alien,3.8,Not Rated,"Comedy, Sci-Fi",-1993,,,,,,,,,,,,,,,,,,,
Everything Happens to Me,5.8,,"Action, Comedy, Family",-1980,,,,,,,,,,,,,,,,,,,
The Last Seven,3.8,,"Drama, Horror, Sci-Fi",-2011,,,,,,,,,,,,,,,,,,,
Gears of War 2,8.7,M,"Action, Sci-Fi, War",(2008 Video Game),,,,,,,,,,,,,,,,,,,
Watch Movie Free Online,7.1,,"Action, Adventure, Comedy",-2019,,,,,,,,,,,,,,,,,,,
Deadly Eyes,4.9,R,"Horror, Sci-Fi, Thriller",-1982,,,,,,,,,,,,,,,,,,,
Monsuno,4.8,TV-Y7,"Animation, Action, Adventure",(2011– ),,,,,,,,,,,,,,,,,,,
The Call Up,4.9,Not Rated,"Action, Sci-Fi, Thriller",-2016,,,,,,,,,,,,,,,,,,,
When the Sky Falls,2.8,Unrated,"Drama, Sci-Fi",-2015,,,,,,,,,,,,,,,,,,,
Welcome to Earth,6.6,,"Short, Drama, Sci-Fi",-2019,,,,,,,,,,,,,,,,,,,
Armada,,,"Action, Sci-Fi",(I),,,,,,,,,,,,,,,,,,,
Alien Expedition,2.7,,Sci-Fi,(2018 Video),,,,,,,,,,,,,,,,,,,
Ba'al,3.6,PG-13,"Action, Adventure, Drama",(2008 TV Movie),,,,,,,,,,,,,,,,,,,
Assignment: Outer Space,3.6,Unrated,Sci-Fi,-1960,,,,,,,,,,,,,,,,,,,
"The Six Million Dollar Man: Wine, Women and War",6.9,TV-PG,"Action, Drama, Sci-Fi",(1973 TV Movie),,,,,,,,,,,,,,,,,,,
Monolith,4.5,R,"Action, Sci-Fi",-1993,,,,,,,,,,,,,,,,,,,
Vesper Seeds,,,"Drama, Sci-Fi",,,,,,,,,,,,,,,,,,,,
Tripped,7.4,,"Comedy, Sci-Fi",(2015– ),,,,,,,,,,,,,,,,,,,
Sex Galaxy,3.3,Not Rated,"Comedy, Sci-Fi",-2008,,,,,,,,,,,,,,,,,,,
Battlestar Galactica: The Face of the Enemy,7.5,,"Drama, Sci-Fi",(2008–2009),,,,,,,,,,,,,,,,,,,
Tubarâo De Malibu,3.1,TV-14,"Action, Comedy, Drama",(2009 TV Movie),,,,,,,,,,,,,,,,,,,
The Outer Wild,3.5,TV-14,"Action, Adventure, Horror",-2018,,,,,,,,,,,,,,,,,,,
Kamen Rider Decade,6.8,TV-PG,"Action, Adventure, Drama",-2009,,,,,,,,,,,,,,,,,,,
The Flash: Chronicles of Cisco,7.3,TV-PG,"Short, Action, Adventure",-2016,,,,,,,,,,,,,,,,,,,
James Cameron's Story of Science Fiction,7.9,,"Documentary, Sci-Fi",-2018,,,,,,,,,,,,,,,,,,,
Dune Warriors,3.8,R,"Action, Adventure, Sci-Fi",-1991,,,,,,,,,,,,,,,,,,,
World War Four,2.9,,"Action, Sci-Fi, Thriller",-2019,,,,,,,,,,,,,,,,,,,
Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,7.3,TV-PG,"Action, Adventure, Comedy",-2021,,,,,,,,,,,,,,,,,,,
Voyage to the Prehistoric Planet,3.8,Unrated,"Adventure, Sci-Fi",-1965,,,,,,,,,,,,,,,,,,,
Man Alive,,,"Sci-Fi, Thriller",(I),,,,,,,,,,,,,,,,,,,
Cyber Bride,2.6,,Sci-Fi,-2019,,,,,,,,,,,,,,,,,,,
Stag Night of the Dead,3.1,Not Rated,"Action, Comedy, Horror",-2010,,,,,,,,,,,,,,,,,,,
inFamous 2,8.4,T,"Action, Adventure, Fantasy",(2011 Video Game),,,,,,,,,,,,,,,,,,,
Please Don't Date Him,7.1,,"Comedy, Drama, Romance",(2020–2021),,,,,,,,,,,,,,,,,,,
Dani Who?,6.8,,"Mystery, Sci-Fi, Thriller",(2019– ),,,,,,,,,,,,,,,,,,,
Alien Vampire Busters,,,Sci-Fi,,,,,,,,,,,,,,,,,,,,
Neuromancer,,,Sci-Fi,,,,,,,,,,,,,,,,,,,,
Independents' Day,2.1,Not Rated,"Action, Adventure, Sci-Fi",(2016 Video),,,,,,,,,,,,,,,,,,,
Valóság.exe,,,"Action, Horror, Sci-Fi",-2022,,,,,,,,,,,,,,,,,,,
Crime Zone,4.4,R,"Action, Adventure, Fantasy",-1988,,,,,,,,,,,,,,,,,,,
Playing Beatie Bow,5.8,Not Rated,"Family, Fantasy, Mystery",-1986,,,,,,,,,,,,,,,,,,,
Command & Conquer: Tiberian Sun,7.8,T,"Action, Sci-Fi, War",(1999 Video Game),,,,,,,,,,,,,,,,,,,
Cyborg She,6.9,,"Action, Comedy, Romance",-2008,,,,,,,,,,,,,,,,,,,
Under the Mountain,8.1,,"Family, Sci-Fi, Thriller",-1981,,,,,,,,,,,,,,,,,,,
The Alien Dead,2.8,R,"Comedy, Horror, Sci-Fi",-1980,,,,,,,,,,,,,,,,,,,
Husband & Wife,6.4,,"Comedy, Sci-Fi",-2017,,,,,,,,,,,,,,,,,,,
Never Let Me Go,7.1,,"Drama, Romance, Sci-Fi",(2016– ),,,,,,,,,,,,,,,,,,,
Roller Blade Warriors: Taken by Force,3.5,R,"Action, Adventure, Sci-Fi",-1989,,,,,,,,,,,,,,,,,,,
Tell Me Why,6.9,M,"Drama, Mystery, Sci-Fi",(2020 Video Game),,,,,,,,,,,,,,,,,,,
Dream Hacker,,,Sci-Fi,,,,,,,,,,,,,,,,,,,,
Miles,6.9,,"Short, Action, Adventure",(I) (2015),,,,,,,,,,,,,,,,,,,
The Galaxy Invader,2.9,PG,"Horror, Sci-Fi",(1985 Video),,,,,,,,,,,,,,,,,,,
Parallel,7.7,,Sci-Fi,(II) (2021– ),,,,,,,,,,,,,,,,,,,
Darkroom,7.3,,"Horror, Thriller, Fantasy",(1981–1982),,,,,,,,,,,,,,,,,,,
Torchwood 2000,,,Sci-Fi,(2020– ),,,,,,,,,,,,,,,,,,,
The Mouse on the Moon,6.3,Approved,"Comedy, Romance, Sci-Fi",-1963,,,,,,,,,,,,,,,,,,,
The Moment After,4.3,,"Action, Drama, Sci-Fi",-1999,,,,,,,,,,,,,,,,,,,
Dynamo Dream,8.5,,"Fantasy, Sci-Fi",(2021– ),,,,,,,,,,,,,,,,,,,
Alpha Squad Seven,,,"Action, Comedy, Sci-Fi",,,,,,,,,,,,,,,,,,,,
Chemical Wedding,4.7,Not Rated,"Horror, Mystery, Sci-Fi",-2008,,,,,,,,,,,,,,,,,,,
Be More Chill,,,"Comedy, Musical, Sci-Fi",,,,,,,,,,,,,,,,,,,,
Nemesis 2: Nebula,3.7,R,"Action, Sci-Fi, Thriller",(1995 Video),,,,,,,,,,,,,,,,,,,
Star Trek: Horizon,5.8,,"Action, Adventure, Sci-Fi",-2016,,,,,,,,,,,,,,,,,,,
Ultraman X,7.4,TV-14,"Action, Adventure, Comedy",-2015,,,,,,,,,,,,,,,,,,,
Operation Othello,,,"Drama, Sci-Fi",(TV Movie),,,,,,,,,,,,,,,,,,,
The Irregular at Magic High School: Reminiscence Arc,7.5,,"Animation, Action, Fantasy",(2021 TV Movie),,,,,,,,,,,,,,,,,,,
Shark Attack in the Mediterranean,2.5,Not Rated,"Action, Adventure, Drama",(2004 TV Movie),,,,,,,,,,,,,,,,,,,
Kenny Starfighter,7.6,,"Action, Adventure, Comedy",-1997,,,,,,,,,,,,,,,,,,,
Voltron Force,6.7,TV-Y7,"Animation, Sci-Fi",(2011–2012),,,,,,,,,,,,,,,,,,,
